"hasAttachedProperty","hasCooling","hasGarage","hasHeating","hasSpa","hasView","stories","price","bathrooms","bedrooms","city","population","distanceToCoast","AvgIncomeCity","hasPool","furnished","additionalParcels","hasAssociation","hasCarport","hasFireplace","hasHomeWarranty","hasLandLease","isNewConstruction","LivingArea","Yearsold","schoolRating","homeType","homeRating"
0,1,1,1,0,1,2,1250000,3,5,"Anaheim","346,824",15.2,88538,1,0,0,1,0,1,0,0,0,"2536","50","7",3,2
0,1,1,1,0,1,2,1260000,3,3,"Anaheim","346,824",15.2,88538,0,0,0,1,0,1,0,0,0,"2330","45","7",3,2
0,1,1,1,1,1,1,1450000,3,4,"Anaheim","346,824",15.2,88538,1,0,0,1,0,1,0,0,0,"2271","50","7",3,3
0,1,1,1,1,1,2,1600000,4,5,"Anaheim","346,824",15.2,88538,2,0,0,0,0,1,0,0,0,"2888","67","7",3,3
0,0,1,1,0,0,2,1600000,6,14,"Anaheim","346,824",15.2,88538,0,0,0,0,0,0,0,0,0,"5609","102","7",2,2
0,1,1,1,0,1,2,1410000,3,4,"Anaheim","346,824",15.2,88538,0,0,0,0,0,1,0,0,0,"2588","48","7",3,2
0,1,1,1,1,1,2,1610000,4,5,"Anaheim","346,824",15.2,88538,2,0,0,1,0,1,0,0,0,"3000","26","7",3,3
1,1,1,1,1,1,1,1250000,2,2,"Anaheim","346,824",15.2,88538,1,0,0,1,0,1,0,0,0,"1889","45","7",3,2
0,1,1,1,0,1,1,1159000,3,4,"Anaheim","346,824",15.2,88538,2,0,0,0,0,1,0,0,0,"2131","60","7",3,2
0,1,1,0,0,1,2,1330000,4,6,"Anaheim","346,824",15.2,88538,0,0,0,0,1,1,0,0,0,"2912","102","7",3,3
0,1,1,1,0,1,2,1275000,2,4,"Anaheim","346,824",15.2,88538,0,0,0,0,0,1,0,0,0,"2127","59","7",3,2
0,1,1,1,0,1,2,1135000,4,5,"Anaheim","346,824",15.2,88538,0,0,0,0,0,1,0,0,0,"2404","59","7",3,2
